task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1108	92/ba4fa8	47471	AncestralAllele (73)	COMPLETED	0	2024-06-12 23:24:43.626	1.8s	852ms	104.6%	11.4 MB	20.2 MB	6.7 MB	14 KB
1109	d1/cdd842	47491	AncestralAllele (74)	COMPLETED	0	2024-06-12 23:24:45.312	1.7s	885ms	104.4%	15.1 MB	23.9 MB	6.7 MB	14 KB
1110	4c/76f359	47500	AncestralAllele (75)	COMPLETED	0	2024-06-12 23:24:45.386	1.8s	909ms	103.6%	10.6 MB	19.5 MB	6.7 MB	14 KB
1111	86/1bae43	47529	AncestralAllele (76)	COMPLETED	0	2024-06-12 23:24:47.050	2s	1.1s	102.9%	11.5 MB	20.2 MB	10.5 MB	14.3 KB
1112	6f/b2fe7d	47546	AncestralAllele (77)	COMPLETED	0	2024-06-12 23:24:47.156	2s	1s	103.1%	11.5 MB	20.2 MB	10.5 MB	14.3 KB
1113	20/7e0122	47568	AncestralAllele (78)	COMPLETED	0	2024-06-12 23:24:49.101	2s	1.1s	103.2%	11 MB	19.6 MB	10.5 MB	14.4 KB
1114	59/41a722	47577	AncestralAllele (79)	COMPLETED	0	2024-06-12 23:24:49.167	2s	1.1s	103.4%	10.9 MB	19.6 MB	10.5 MB	14.3 KB
1115	28/d77b5b	47606	AncestralAllele (80)	COMPLETED	0	2024-06-12 23:24:51.087	1.8s	953ms	103.9%	11.6 MB	20.2 MB	7.3 MB	13.8 KB
1116	31/fed61f	47614	AncestralAllele (81)	COMPLETED	0	2024-06-12 23:24:51.134	1.9s	987ms	102.8%	11 MB	19.8 MB	8.2 MB	14.2 KB
1117	55/8f1d8e	47643	AncestralAllele (82)	COMPLETED	0	2024-06-12 23:24:52.938	2s	1.1s	105.8%	13.2 MB	22.3 MB	8.2 MB	14.2 KB
1118	62/977fab	47659	AncestralAllele (83)	COMPLETED	0	2024-06-12 23:24:53.019	2.2s	1.2s	104.7%	104.9 MB	121.3 MB	10.5 MB	14.4 KB
1119	5c/35d864	47684	AncestralAllele (84)	COMPLETED	0	2024-06-12 23:24:54.968	2s	1s	105.9%	11.9 MB	20.6 MB	7.3 MB	13.8 KB
1120	63/776ed2	47704	AncestralAllele (85)	COMPLETED	0	2024-06-12 23:24:55.243	1.9s	911ms	103.9%	12.2 MB	21 MB	8.2 MB	14.2 KB
1121	a5/7c54ad	47729	AncestralAllele (86)	COMPLETED	0	2024-06-12 23:24:56.930	1.9s	1.1s	103.8%	11 MB	19.9 MB	8.2 MB	14.2 KB
1122	2b/c90f7a	47749	AncestralAllele (87)	COMPLETED	0	2024-06-12 23:24:57.120	1.9s	973ms	103.6%	11.4 MB	20.2 MB	7.3 MB	14.4 KB
1123	54/f5dd26	47768	AncestralAllele (88)	COMPLETED	0	2024-06-12 23:24:58.873	2s	1.1s	104.2%	11.1 MB	19.8 MB	8.2 MB	14.2 KB
1124	df/8f05d5	47786	AncestralAllele (89)	COMPLETED	0	2024-06-12 23:24:59.018	2s	953ms	102.8%	10.5 MB	19.4 MB	7.3 MB	14.2 KB
1125	ce/8d504e	47806	AncestralAllele (90)	COMPLETED	0	2024-06-12 23:25:00.897	2s	1s	105.2%	10.8 MB	19.5 MB	8.6 MB	13.6 KB
1126	30/bd6152	47823	AncestralAllele (91)	COMPLETED	0	2024-06-12 23:25:01.002	1.9s	996ms	102.7%	11 MB	20 MB	8.6 MB	13.6 KB
1127	8b/0d48bb	47846	AncestralAllele (92)	COMPLETED	0	2024-06-12 23:25:02.861	2.1s	1.1s	105.1%	10.9 MB	19.8 MB	7.3 MB	13.8 KB
1128	8c/a6bcfc	47852	AncestralAllele (93)	COMPLETED	0	2024-06-12 23:25:02.879	2.1s	1.2s	103.7%	11 MB	19.8 MB	8.6 MB	13.6 KB
